Deposit,Harvest,Lock,Unlock,Withdraw,amount,duration,gasUsed,lockedAmount,lockedDuration,shares,x1,x2
0.0,0.0,0.0,1.0,0.0,0.429041630715427,-1.0,-0.8880418053616808,-1.0,-1.0,-1.0,0.8128615318984082,-0.9662474170897991
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7090045738172013,0.42412453102044134,1.0,0.4752388835348784,0.9605308890964228,0.6893225212400889
0.0,1.0,0.0,0.0,0.0,0.6312003972279254,-1.0,-0.6845009745256712,-1.0,-1.0,-1.0,0.7943799764654593,-0.9633492961005391
0.0,1.0,0.0,0.0,0.0,0.6034250197616342,-1.0,-0.7451178812716448,-1.0,-1.0,-1.0,0.8045351992839076,-0.9642651857096832
0.0,1.0,0.0,0.0,0.0,0.586333946184469,-1.0,-0.7764133333767179,-1.0,-1.0,-1.0,0.8091205263688414,-0.9647063256222563
1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-0.7090045738172013,-1.0,-1.0,0.6524942943949312,-0.9275854373872656,-0.9364473923922335
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7929005506585234,0.6933907358237992,0.9940901192288178,0.7353457456629795,0.9582818348222586,0.7115767959632708
0.0,1.0,0.0,0.0,0.0,0.5951649167038275,-1.0,-0.7637135881525444,-1.0,-1.0,-1.0,0.8075240653619216,-0.9645257168313027
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7764263487446135,0.5189642211169518,-0.04109589041095896,0.5440975855422854,0.9755721173453595,0.09664192387676879
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7929005506585234,0.7027789018072261,0.9999847792998477,0.7444565615550125,0.957777330556261,0.7146182431734289
1.0,0.0,0.0,0.0,0.0,0.4380846911533416,-0.9836976154236429,-0.7929005506585234,-1.0,-1.0,0.6110498621650668,0.7985500713602154,-0.815274231681421
0.0,0.0,0.0,1.0,0.0,0.6494903529662275,-1.0,-0.9090735552670482,-1.0,-1.0,-1.0,0.8403340031528651,-0.9660428248634663
0.0,1.0,0.0,0.0,0.0,0.6138847244537824,-1.0,-0.8209584299995554,-1.0,-1.0,-1.0,0.8213961466769895,-0.9651737973223649
0.0,0.0,0.0,0.0,1.0,0.4778305046022955,-1.0,-0.8258261775925257,-1.0,-1.0,0.42997262332272923,0.8191560806414453,-0.8621404195078244
