Deposit,Harvest,Lock,Unlock,Withdraw,amount,duration,gasUsed,lockedAmount,lockedDuration,shares,x1,x2
1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-0.7090045738172013,-1.0,-1.0,0.584674775807994,-0.9282619832158381,-0.9377247795022543
0.0,1.0,0.0,0.0,0.0,0.5645505328811762,-1.0,-0.8464880741268586,-1.0,-1.0,-1.0,0.8206643475568274,-0.96557100718834
0.0,1.0,0.0,0.0,0.0,0.5082366566028231,-1.0,-0.7764263487446135,-1.0,-1.0,-1.0,0.7988359674673239,-0.9648817874545929
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7090175891850969,0.5502149341458993,-0.8082191780821918,0.5315203812683928,0.9138367428760957,-0.17945979938041443
0.0,0.0,0.0,1.0,0.0,0.5585595401510239,-1.0,-0.7764393641125091,-1.0,-1.0,-1.0,0.8055650923477556,-0.9647718345615014
0.0,0.0,0.0,0.0,1.0,0.47011678642505283,-1.0,-0.8852153013003438,-1.0,-1.0,0.4225153786213307,0.8357184782390191,-0.8641355086197038
1.0,0.0,0.0,0.0,0.0,0.5236717172917869,1.0,-0.6853860195425749,-1.0,-1.0,0.5754644008366856,-0.8384042287659035,-0.916132296727588
1.0,0.0,0.0,0.0,0.0,0.5221303854167163,-0.9616438356164384,-0.6853730041746793,-1.0,-1.0,0.4836879639115166,0.7542153265221052,-0.8538781971714573
1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.9090865706349439,-1.0,-1.0,-1.0,0.402746782906653,-0.9676977227872202
1.0,0.0,0.0,0.0,0.0,0.6295835232608136,-1.0,-0.8020091389574907,-1.0,-1.0,0.7229001788056078,0.8446971977087464,-0.7608567386608693
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.7178984085458906,0.5459648958903895,1.0,0.5929691777011246,0.9583927363942184,0.7060415966920695
1.0,0.0,0.0,0.0,0.0,0.3958545565272842,-0.9616438356164384,-0.6854120502783662,-1.0,-1.0,0.3613658912961457,0.7152622024835882,-0.8856461386920108
1.0,0.0,0.0,0.0,0.0,0.3552601283778909,-1.0,-0.8020221543253864,-1.0,-1.0,0.4162572975502894,0.7859107151481577,-0.8693150943550871
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.8020221543253864,0.6361055488467406,-0.5075601217656012,0.638027632683513,0.9519755207164142,-0.03360689166430122
1.0,0.0,0.0,0.0,0.0,0.4324401398835116,-1.0,-0.5056784965514698,-1.0,-1.0,0.38598841555353713,0.6615269538971225,-0.8715197308437905
0.0,1.0,0.0,0.0,0.0,0.5744040048481174,-1.0,-0.8020221543253864,-1.0,-1.0,-1.0,0.8129942931497297,-0.9650438565504998
1.0,0.0,0.0,0.0,0.0,-1.0,0.6136135844748858,-0.7974450832820853,-1.0,-1.0,0.5221114611563382,-0.8794102710957925,-0.944434869479329
1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-0.7974450832820853,-1.0,-1.0,0.4406529349137682,-0.9215939133572923,-0.9426418174075479
0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-0.8209714453674509,0.6497995059650266,0.726027397260274,0.6941963561372047,0.968345085823561,0.5960284548217385
0.0,1.0,0.0,0.0,0.0,0.5130339947147982,-1.0,-0.6853860195425749,-1.0,-1.0,-1.0,0.7767707214458128,-0.9636836298511319
